what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1357637068697
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1357637068705
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1357637068722
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1357637068736
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1357637068745
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1357637068757
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1357637068759
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1357637068759
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1357637068773
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1357637068821
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1357637068837
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1357637068839
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1357637068855
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1357637068865
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1357637068906
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1357637068921
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1357637068938
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1357637068938
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1357637068951
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1357637068998
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1357637069000
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1357637069025
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1357637069032
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1357637069111
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1357637069144
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1357637069222
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1357637069239
os,sysinfo,,,"linux",1357637069249
arch,sysinfo,,,"x86",1357637069249
ws,sysinfo,,,"gtk",1357637069249
locale,sysinfo,,,"ru_RU",1357637069249
processors,sysinfo,,,"2",1357637069249
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1357637069249
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1357637069249
java.specification.name,sysinfo,,,"Java Platform API Specification",1357637069249
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357637069249
java.specification.version,sysinfo,,,"1.6",1357637069249
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1357637069249
java.version,sysinfo,,,"1.6.0_24",1357637069249
java.vm.info,sysinfo,,,"mixed mode, sharing",1357637069249
java.vm.name,sysinfo,,,"OpenJDK Client VM",1357637069249
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357637069249
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1357637069249
java.vm.specification.version,sysinfo,,,"1.0",1357637069249
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1357637069249
java.vm.version,sysinfo,,,"20.0-b12",1357637069250
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1357637070575
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1357637070816
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1357637070841
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1357637071080
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1357637071275
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1357637071645
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1357637075923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637075976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637079961
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1357637088770
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1357637088797
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1357637088864
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357637089159
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1357637089622
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1357637089766
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1357637090030
opened,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1357637090154
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1357637090481
activated,perspective,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui.PDEPerspective",1357637090742
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357637092530
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1357637095121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637100518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637103556
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1357637104784
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1357637107183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637108494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637116602
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357637116931
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357637123668
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357637124251
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1357637124357
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357637125266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1357637167586
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1357637168259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1357637169123
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1357637173152
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1357637173241
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1357637173452
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1357637173468
started,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1357637173471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1357637189509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637194265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637209625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637242098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637378770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637382474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637831119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637855705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637882959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637884635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357637885793
